Sheet,EPSG-gcp,EPSG-geotiff
030N,4267,26918
030M,4267,26917
030L,4267,26917
031A,4267,26918
031B,4267,26918
031C,4267,26918
031D,4267,26917
031E,4267,26917
031F,4267,26918
031G,4267,26918
031H,4267,26918
031I,4267,26918
031J,4267,26918
031K,4267,26918
031L,4267,26917
031M,4267,26917
031N,4267,26918
031O,4267,26918
031P,4267,26918
032A,4267,26918
032B,4267,26918
032C,4267,26918
032D,4267,26917
032E,4267,26917
032F,4267,26918
032G,4267,26918
032H,4267,26918
032I,4267,26918
032J,4267,26918
032K,4267,26918
032L,4267,26917
032M,4267,26917
032N,4267,26918
032O,4267,26918
032P,4267,26918
040A,4267,26917
040B,4267,26917
040C,4267,26916
040D,4267,26916
040E,4267,26916
040F,4267,26916
040G,4267,26917
040H,4267,26917
040I,4267,26917
040J,4267,26917
040K,4267,26916
040L,4267,26916
040M,4267,26916
040N,4267,26916
040O,4267,26917
040P,4267,26917
041A,4267,26917
041B,4267,26917
041C,4267,26916
041D,4267,26916
041E,4267,26916
041F,4267,26916
041G,4267,26917
041H,4267,26917
041I,4267,26917
041J,4267,26917
041K,4267,26916
041L,4267,26916
041M,4267,26916
041N,4267,26916
041O,4267,26917
041P,4267,26917
042A,4267,26917
042B,4267,26917
042C,4267,26916
042D,4267,26916
042E,4267,26916
042F,4267,26916
042G,4267,26917
042H,4267,26917
042I,4267,26917
042J,4267,26917
042K,4267,26916
042L,4267,26916
042M,4267,26916
042N,4267,26916
042O,4267,26917
042P,4267,26917
043A,4267,26917
043B,4267,26917
043C,4267,26916
043D,4267,26916
043E,4267,26916
043F,4267,26916
043G,4267,26917
043H,4267,26917
043I,4267,26917
043J,4267,26917
043K,4267,26916
043L,4267,26916
043M,4267,26916
043N,4267,26916
043O,4267,26917
043P,4267,26917
051P,4267,26916
052A,4267,26916
052B,4267,26915
052C,4267,26915
052D,4267,26915
052E,4267,26915
052F,4267,26915
052G,4267,26915
052H,4267,26916
052I,4267,26916
052J,4267,26915
052K,4267,26915
052L,4267,26915
052M,4267,26915
052N,4267,26915
052O,4267,26915
052P,4267,26916
053A,4267,26916
053B,4267,26915
053C,4267,26915
053D,4267,26915
053E,4267,26915
053F,4267,26915
053G,4267,26915
053H,4267,26916
053I,4267,26916
053J,4267,26915
053K,4267,26915
053L,4267,26915
053M,4267,26915
053N,4267,26915
053O,4267,26915
053P,4267,26916
054A,4267,26916
054B,4267,26915
054C,4267,26915
054D,4267,26915
054E,4267,26915
054F,4267,26915
054G,4267,26915
054H,4267,26916
054I,4267,26916
054J,4267,26915
054K,4267,26915
054L,4267,26915
054M,4267,26915
054N,4267,26915
054O,4267,26915
054P,4267,26916
