Sheet,Bound_east_latlong,Bound_west_latlong,Bound_south_latlong,Bound_north_latlong
000L04,-55.5,-56,42,42.25
000L05,-55.5,-56,42.25,42.5
000L11,-55,-55.5,42.5,42.75
000L12,-55.5,-56,42.5,42.75
000L13,-55.5,-56,42.75,43
000L14,-55,-55.5,42.75,43
000M03,-55,-55.5,43,43.25
000M04,-55.5,-56,43,43.25
000M05,-55.5,-56,43.25,43.5
000M06,-55,-55.5,43.25,43.5
000M07,-54.5,-55,43.25,43.5
000M08,-54,-54.5,43.25,43.5
000M09,-54,-54.5,43.5,43.75
000M10,-54.5,-55,43.5,43.75
000M11,-55,-55.5,43.5,43.75
000M12,-55.5,-56,43.5,43.75
000M13,-55.5,-56,43.75,44
000M14,-55,-55.5,43.75,44
000M15,-54.5,-55,43.75,44
000M16,-54,-54.5,43.75,44
000N05,-53.5,-54,43.25,43.5
000N06,-53,-53.5,43.25,43.5
000N07,-52.5,-53,43.25,43.5
000N08,-52,-52.5,43.25,43.5
000N09,-52,-52.5,43.5,43.75
000N10,-52.5,-53,43.5,43.75
000N11,-53,-53.5,43.5,43.75
000N12,-53.5,-54,43.5,43.75
000N13,-53.5,-54,43.75,44
000N14,-53,-53.5,43.75,44
000N15,-52.5,-53,43.75,44
000N16,-52,-52.5,43.75,44
000O05,-51.5,-52,43.25,43.5
000O10,-50.5,-51,43.5,43.75
000O11,-51,-51.5,43.5,43.75
000O12,-51.5,-52,43.5,43.75
000O13,-51.5,-52,43.75,44
000O14,-51,-51.5,43.75,44
000O15,-50.5,-51,43.75,44
000O16,-50,-50.5,43.75,44
001A04,-49.5,-50,44,44.25
001A05,-49.5,-50,44.25,44.5
001A06,-49,-49.5,44.25,44.5
001A11,-49,-49.5,44.5,44.75
001A12,-49.5,-50,44.5,44.75
001A13,-49.5,-50,44.75,45
001A14,-49,-49.5,44.75,45
001A15,-48.5,-49,44.75,45
001B01,-50,-50.5,44,44.25
001B02,-50.5,-51,44,44.25
001B03,-51,-51.5,44,44.25
001B04,-51.5,-52,44,44.25
001B05,-51.5,-52,44.25,44.5
001B06,-51,-51.5,44.25,44.5
001B07,-50.5,-51,44.25,44.5
001B08,-50,-50.5,44.25,44.5
001B09,-50,-50.5,44.5,44.75
001B10,-50.5,-51,44.5,44.75
001B11,-51,-51.5,44.5,44.75
001B12,-51.5,-52,44.5,44.75
001B13,-51.5,-52,44.75,45
001B14,-51,-51.5,44.75,45
001B15,-50.5,-51,44.75,45
001B16,-50,-50.5,44.75,45
001C01,-52,-52.5,44,44.25
001C02,-52.5,-53,44,44.25
001C03,-53,-53.5,44,44.25
001C04,-53.5,-54,44,44.25
001C05,-53.5,-54,44.25,44.5
001C06,-53,-53.5,44.25,44.5
001C07,-52.5,-53,44.25,44.5
001C08,-52,-52.5,44.25,44.5
001C09,-52,-52.5,44.5,44.75
001C10,-52.5,-53,44.5,44.75
001C11,-53,-53.5,44.5,44.75
001C12,-53.5,-54,44.5,44.75
001C13,-53.5,-54,44.75,45
001C14,-53,-53.5,44.75,45
001C15,-52.5,-53,44.75,45
001C16,-52,-52.5,44.75,45
001D01,-54,-54.5,44,44.25
001D02,-54.5,-55,44,44.25
001D03,-55,-55.5,44,44.25
001D04,-55.5,-56,44,44.25
001D05,-55.5,-56,44.25,44.5
001D06,-55,-55.5,44.25,44.5
001D07,-54.5,-55,44.25,44.5
001D08,-54,-54.5,44.25,44.5
001D09,-54,-54.5,44.5,44.75
